"label","result","treatment","comparator","median","boundLower","boundUpper"
"Dabigatran 110 mg vs Apixaban 5 mg","1.41 (1.09, 1.82)","Dabigatran_110_mg","Apixaban_5_mg",1.40899323475752,1.09094539983689,1.81984723456129
"Dabigatran 150 mg vs Apixaban 5 mg","1.64 (1.28, 2.11)","Dabigatran_150_mg","Apixaban_5_mg",1.63836650700407,1.27743554787353,2.10829434895132
"Edoxaban 30 mg vs Apixaban 5 mg","1.38 (1.08, 1.76)","Edoxaban_30_mg","Apixaban_5_mg",1.37844647302224,1.08333202017442,1.75869175104532
"Edoxaban 60 mg vs Apixaban 5 mg","0.82 (0.64, 1.05)","Edoxaban_60_mg","Apixaban_5_mg",0.819366260866313,0.635225737086958,1.05246176362753
"Rivaroxaban 20 mg vs Apixaban 5 mg","1.81 (1.41, 2.31)","Rivaroxaban_20_mg","Apixaban_5_mg",1.80553311205928,1.41491999874728,2.31326259746854
"Warfarin vs Apixaban 5 mg","1.76 (1.44, 2.15)","Warfarin","Apixaban_5_mg",1.75654534749308,1.43785142109774,2.15405044620796
"Apixaban 5 mg vs Dabigatran 110 mg","0.71 (0.55, 0.92)","Apixaban_5_mg","Dabigatran_110_mg",0.709726615665469,0.549496672582559,0.916636158096926
"Dabigatran 150 mg vs Dabigatran 110 mg","1.16 (1.00, 1.36)","Dabigatran_150_mg","Dabigatran_110_mg",1.16043957767429,0.997190449265068,1.35867776041711
"Edoxaban 30 mg vs Dabigatran 110 mg","0.98 (0.80, 1.20)","Edoxaban_30_mg","Dabigatran_110_mg",0.979053185046663,0.798436400488842,1.19859034319576
"Edoxaban 60 mg vs Dabigatran 110 mg","0.58 (0.47, 0.72)","Edoxaban_60_mg","Dabigatran_110_mg",0.581022187330767,0.469706657386188,0.721220740726773
"Rivaroxaban 20 mg vs Dabigatran 110 mg","1.28 (1.04, 1.58)","Rivaroxaban_20_mg","Dabigatran_110_mg",1.27981674753368,1.04322560783385,1.57517686879154
"Warfarin vs Dabigatran 110 mg","1.25 (1.07, 1.45)","Warfarin","Dabigatran_110_mg",1.24678691171309,1.07077390009519,1.45465808005641
"Apixaban 5 mg vs Dabigatran 150 mg","0.61 (0.47, 0.78)","Apixaban_5_mg","Dabigatran_150_mg",0.610364039868348,0.474317070810064,0.782818359536523
"Dabigatran 110 mg vs Dabigatran 150 mg","0.86 (0.74, 1.00)","Dabigatran_110_mg","Dabigatran_150_mg",0.861742411443912,0.736009692020721,1.00281746655015
"Edoxaban 30 mg vs Dabigatran 150 mg","0.84 (0.69, 1.02)","Edoxaban_30_mg","Dabigatran_150_mg",0.843468370975068,0.692264560230006,1.02453293715371
"Edoxaban 60 mg vs Dabigatran 150 mg","0.50 (0.40, 0.62)","Edoxaban_60_mg","Dabigatran_150_mg",0.500237729397698,0.403263459156484,0.61535981295538
"Rivaroxaban 20 mg vs Dabigatran 150 mg","1.10 (0.90, 1.35)","Rivaroxaban_20_mg","Dabigatran_150_mg",1.10194019329897,0.902325946111934,1.35023448765843
"Warfarin vs Dabigatran 150 mg","1.07 (0.93, 1.24)","Warfarin","Dabigatran_150_mg",1.0734075700347,0.929684628348388,1.24244101360033
"Apixaban 5 mg vs Edoxaban 30 mg","0.73 (0.57, 0.92)","Apixaban_5_mg","Edoxaban_30_mg",0.725454357184796,0.568604475119433,0.923078041982912
