"","treatment","comparator","median","boundLower","boundUpper","label","result"
"1","Dabigatran_110_mg","Apixaban_5_mg",1.40753344643831,1.09051573229887,1.82408210633997,"Dabigatran 110 mg vs Apixaban 5 mg","1.41 (1.09, 1.82)"
"2","Dabigatran_150_mg","Apixaban_5_mg",1.63600528027002,1.28342093094624,2.11024756913237,"Dabigatran 150 mg vs Apixaban 5 mg","1.64 (1.28, 2.11)"
"3","Edoxaban_30_mg","Apixaban_5_mg",1.37817094188231,1.07978595914244,1.76811079309737,"Edoxaban 30 mg vs Apixaban 5 mg","1.38 (1.08, 1.77)"
"4","Edoxaban_60_mg","Apixaban_5_mg",0.817291698859245,0.637200839161545,1.06526969381792,"Edoxaban 60 mg vs Apixaban 5 mg","0.82 (0.64, 1.07)"
"5","Rivaroxaban_20_mg","Apixaban_5_mg",1.80444070026697,1.40959259194948,2.33588463544677,"Rivaroxaban 20 mg vs Apixaban 5 mg","1.80 (1.41, 2.34)"
"6","Warfarin","Apixaban_5_mg",1.75860520346546,1.4362952103232,2.17434843318615,"Warfarin vs Apixaban 5 mg","1.76 (1.44, 2.17)"
"7","Apixaban_5_mg","Dabigatran_110_mg",0.710462690979348,0.548220936176227,0.916997316390786,"Apixaban 5 mg vs Dabigatran 110 mg","0.71 (0.55, 0.92)"
"8","Dabigatran_150_mg","Dabigatran_110_mg",1.16303695259741,1.00127363442188,1.35862486696633,"Dabigatran 150 mg vs Dabigatran 110 mg","1.16 (1.00, 1.36)"
"9","Edoxaban_30_mg","Dabigatran_110_mg",0.980356379110448,0.802109909704531,1.20339947088763,"Edoxaban 30 mg vs Dabigatran 110 mg","0.98 (0.80, 1.20)"
"10","Edoxaban_60_mg","Dabigatran_110_mg",0.581709236230105,0.469174401582246,0.72018046647663,"Edoxaban 60 mg vs Dabigatran 110 mg","0.58 (0.47, 0.72)"
"11","Rivaroxaban_20_mg","Dabigatran_110_mg",1.28333751966636,1.04057274403847,1.58143689154038,"Rivaroxaban 20 mg vs Dabigatran 110 mg","1.28 (1.04, 1.58)"
"12","Warfarin","Dabigatran_110_mg",1.25102789865558,1.07306129654861,1.45279715887706,"Warfarin vs Dabigatran 110 mg","1.25 (1.07, 1.45)"
"13","Apixaban_5_mg","Dabigatran_150_mg",0.611244970942242,0.473878048541552,0.779167594892439,"Apixaban 5 mg vs Dabigatran 150 mg","0.61 (0.47, 0.78)"
"14","Dabigatran_110_mg","Dabigatran_150_mg",0.859817908422173,0.736038346061555,0.998727985659364,"Dabigatran 110 mg vs Dabigatran 150 mg","0.86 (0.74, 1.00)"
"15","Edoxaban_30_mg","Dabigatran_150_mg",0.841603163040401,0.69204856430368,1.02540762433422,"Edoxaban 30 mg vs Dabigatran 150 mg","0.84 (0.69, 1.03)"
"16","Edoxaban_60_mg","Dabigatran_150_mg",0.498809361738901,0.405342742022813,0.618351830100219,"Edoxaban 60 mg vs Dabigatran 150 mg","0.50 (0.41, 0.62)"
"17","Rivaroxaban_20_mg","Dabigatran_150_mg",1.10233948411596,0.897481975385631,1.35565158676918,"Rivaroxaban 20 mg vs Dabigatran 150 mg","1.10 (0.90, 1.36)"
"18","Warfarin","Dabigatran_150_mg",1.07283133773801,0.926312264538369,1.24056900543876,"Warfarin vs Dabigatran 150 mg","1.07 (0.93, 1.24)"
"19","Apixaban_5_mg","Edoxaban_30_mg",0.725599393812641,0.565575417504354,0.92610946783768,"Apixaban 5 mg vs Edoxaban 30 mg","0.73 (0.57, 0.93)"
"20","Dabigatran_110_mg","Edoxaban_30_mg",1.02003722453194,0.830979258502083,1.24671193797913,"Dabigatran 110 mg vs Edoxaban 30 mg","1.02 (0.83, 1.25)"
"21","Dabigatran_150_mg","Edoxaban_30_mg",1.18820846203497,0.975221927620521,1.44498529666942,"Dabigatran 150 mg vs Edoxaban 30 mg","1.19 (0.98, 1.44)"
"22","Edoxaban_60_mg","Edoxaban_30_mg",0.592759649074444,0.507811968577528,0.695702927617194,"Edoxaban 60 mg vs Edoxaban 30 mg","0.59 (0.51, 0.70)"
"23","Rivaroxaban_20_mg","Edoxaban_30_mg",1.30706295638425,1.07143300036014,1.59656773367829,"Rivaroxaban 20 mg vs Edoxaban 30 mg","1.31 (1.07, 1.60)"
"24","Warfarin","Edoxaban_30_mg",1.27646192147303,1.1171475014026,1.45297529156041,"Warfarin vs Edoxaban 30 mg","1.28 (1.12, 1.45)"
"25","Apixaban_5_mg","Edoxaban_60_mg",1.22355335481294,0.938729418290314,1.56936390936936,"Apixaban 5 mg vs Edoxaban 60 mg","1.22 (0.94, 1.57)"
"26","Dabigatran_110_mg","Edoxaban_60_mg",1.71907189660718,1.38854085406168,2.13140358175466,"Dabigatran 110 mg vs Edoxaban 60 mg","1.72 (1.39, 2.13)"
"27","Dabigatran_150_mg","Edoxaban_60_mg",2.00477392107056,1.61720229701257,2.46704799747893,"Dabigatran 150 mg vs Edoxaban 60 mg","2.00 (1.62, 2.47)"
"28","Edoxaban_30_mg","Edoxaban_60_mg",1.68702441463658,1.43739512987969,1.96923283002009,"Edoxaban 30 mg vs Edoxaban 60 mg","1.69 (1.44, 1.97)"
"29","Rivaroxaban_20_mg","Edoxaban_60_mg",2.20726518946691,1.78947007380216,2.72938373979652,"Rivaroxaban 20 mg vs Edoxaban 60 mg","2.21 (1.79, 2.73)"
"30","Warfarin","Edoxaban_60_mg",2.15296636926138,1.84168366796499,2.50120970647535,"Warfarin vs Edoxaban 60 mg","2.15 (1.84, 2.50)"
"31","Apixaban_5_mg","Rivaroxaban_20_mg",0.554188342045293,0.428103333882642,0.709424840703078,"Apixaban 5 mg vs Rivaroxaban 20 mg","0.55 (0.43, 0.71)"
"32","Dabigatran_110_mg","Rivaroxaban_20_mg",0.779218237350354,0.632336329922065,0.961009218941287,"Dabigatran 110 mg vs Rivaroxaban 20 mg","0.78 (0.63, 0.96)"
"33","Dabigatran_150_mg","Rivaroxaban_20_mg",0.907161554502389,0.737652660727687,1.11422850533608,"Dabigatran 150 mg vs Rivaroxaban 20 mg","0.91 (0.74, 1.11)"
"34","Edoxaban_30_mg","Rivaroxaban_20_mg",0.765074088524641,0.626343611301808,0.933329475257784,"Edoxaban 30 mg vs Rivaroxaban 20 mg","0.77 (0.63, 0.93)"
"35","Edoxaban_60_mg","Rivaroxaban_20_mg",0.45304932310445,0.366383072273506,0.558824656885856,"Edoxaban 60 mg vs Rivaroxaban 20 mg","0.45 (0.37, 0.56)"
"36","Warfarin","Rivaroxaban_20_mg",0.976112413995349,0.841451328219594,1.12763556992245,"Warfarin vs Rivaroxaban 20 mg","0.98 (0.84, 1.13)"
"37","Apixaban_5_mg","Warfarin",0.568632458285366,0.459907889985537,0.696235699188177,"Apixaban 5 mg vs Warfarin","0.57 (0.46, 0.70)"
"38","Dabigatran_110_mg","Warfarin",0.799342685382677,0.688327337295281,0.931913212429146,"Dabigatran 110 mg vs Warfarin","0.80 (0.69, 0.93)"
"39","Dabigatran_150_mg","Warfarin",0.932112965779345,0.806081721867879,1.07954956258552,"Dabigatran 150 mg vs Warfarin","0.93 (0.81, 1.08)"
"40","Edoxaban_30_mg","Warfarin",0.783415457349488,0.688242949352608,0.895136943639479,"Edoxaban 30 mg vs Warfarin","0.78 (0.69, 0.90)"
"41","Edoxaban_60_mg","Warfarin",0.464475439225311,0.399806540575592,0.542981412820462,"Edoxaban 60 mg vs Warfarin","0.46 (0.40, 0.54)"
"42","Rivaroxaban_20_mg","Warfarin",1.02447216699855,0.886811330427237,1.18842286709069,"Rivaroxaban 20 mg vs Warfarin","1.02 (0.89, 1.19)"
