"","treatment","comparator","median","boundLower","boundUpper","label","result"
"1","Dabigatran_110_mg","Apixaban_5_mg",1.5632483425751,1.01431055419387,2.42074237145169,"Dabigatran 110 mg vs Apixaban 5 mg","1.56 (1.01, 2.42)"
"2","Dabigatran_150_mg","Apixaban_5_mg",1.60156737152852,1.04014502471747,2.44315313311398,"Dabigatran 150 mg vs Apixaban 5 mg","1.60 (1.04, 2.44)"
"3","Edoxaban_30_mg","Apixaban_5_mg",1.07483116907524,0.727515492538932,1.55631885239961,"Edoxaban 30 mg vs Apixaban 5 mg","1.07 (0.73, 1.56)"
"4","Edoxaban_60_mg","Apixaban_5_mg",1.3681130709634,0.944078722073379,1.96479488353067,"Edoxaban 60 mg vs Apixaban 5 mg","1.37 (0.94, 1.96)"
"5","Rivaroxaban_20_mg","Apixaban_5_mg",0.905181234621016,0.616303901997892,1.33399625517345,"Rivaroxaban 20 mg vs Apixaban 5 mg","0.91 (0.62, 1.33)"
"6","Warfarin","Apixaban_5_mg",1.13617174261339,0.851667108626702,1.50989044228084,"Warfarin vs Apixaban 5 mg","1.14 (0.85, 1.51)"
"7","Apixaban_5_mg","Dabigatran_110_mg",0.639693625615955,0.413096416947629,0.985891348429039,"Apixaban 5 mg vs Dabigatran 110 mg","0.64 (0.41, 0.99)"
"8","Dabigatran_150_mg","Dabigatran_110_mg",1.02464244380064,0.757758795895365,1.38293264410224,"Dabigatran 150 mg vs Dabigatran 110 mg","1.02 (0.76, 1.38)"
"9","Edoxaban_30_mg","Dabigatran_110_mg",0.682691354007619,0.458014719888871,1.03600996622962,"Edoxaban 30 mg vs Dabigatran 110 mg","0.68 (0.46, 1.04)"
"10","Edoxaban_60_mg","Dabigatran_110_mg",0.868982716596772,0.590717235554131,1.310568271445,"Edoxaban 60 mg vs Dabigatran 110 mg","0.87 (0.59, 1.31)"
"11","Rivaroxaban_20_mg","Dabigatran_110_mg",0.579322850468968,0.380619499184532,0.879950589174787,"Rivaroxaban 20 mg vs Dabigatran 110 mg","0.58 (0.38, 0.88)"
"12","Warfarin","Dabigatran_110_mg",0.724926833820087,0.524958534835756,1.00825696387244,"Warfarin vs Dabigatran 110 mg","0.72 (0.52, 1.01)"
"13","Apixaban_5_mg","Dabigatran_150_mg",0.624388344678631,0.409307131201157,0.961404396729794,"Apixaban 5 mg vs Dabigatran 150 mg","0.62 (0.41, 0.96)"
"14","Dabigatran_110_mg","Dabigatran_150_mg",0.975950201995116,0.723101015992842,1.31968115106919,"Dabigatran 110 mg vs Dabigatran 150 mg","0.98 (0.72, 1.32)"
"15","Edoxaban_30_mg","Dabigatran_150_mg",0.669755919041527,0.445317329962013,1.00300534613964,"Edoxaban 30 mg vs Dabigatran 150 mg","0.67 (0.45, 1.00)"
"16","Edoxaban_60_mg","Dabigatran_150_mg",0.85324299930516,0.573658385963199,1.27279246801992,"Edoxaban 60 mg vs Dabigatran 150 mg","0.85 (0.57, 1.27)"
"17","Rivaroxaban_20_mg","Dabigatran_150_mg",0.566574714885231,0.371475503822012,0.853942120949777,"Rivaroxaban 20 mg vs Dabigatran 150 mg","0.57 (0.37, 0.85)"
"18","Warfarin","Dabigatran_150_mg",0.708358504932617,0.513145044233028,0.984595297345429,"Warfarin vs Dabigatran 150 mg","0.71 (0.51, 0.98)"
"19","Apixaban_5_mg","Edoxaban_30_mg",0.930378675992788,0.642541853462836,1.37454117507537,"Apixaban 5 mg vs Edoxaban 30 mg","0.93 (0.64, 1.37)"
"20","Dabigatran_110_mg","Edoxaban_30_mg",1.46479077862884,0.965241679710215,2.18333594222175,"Dabigatran 110 mg vs Edoxaban 30 mg","1.46 (0.97, 2.18)"
"21","Dabigatran_150_mg","Edoxaban_30_mg",1.49308124283706,0.997003658902508,2.24558967890448,"Dabigatran 150 mg vs Edoxaban 30 mg","1.49 (1.00, 2.25)"
"22","Edoxaban_60_mg","Edoxaban_30_mg",1.27231659891337,1.01592654868234,1.60750804466594,"Edoxaban 60 mg vs Edoxaban 30 mg","1.27 (1.02, 1.61)"
"23","Rivaroxaban_20_mg","Edoxaban_30_mg",0.844131005364024,0.592588658883272,1.22192466999837,"Rivaroxaban 20 mg vs Edoxaban 30 mg","0.84 (0.59, 1.22)"
"24","Warfarin","Edoxaban_30_mg",1.05775644191259,0.837188182732517,1.34718649200309,"Warfarin vs Edoxaban 30 mg","1.06 (0.84, 1.35)"
"25","Apixaban_5_mg","Edoxaban_60_mg",0.730933737293966,0.508958980086021,1.05923370225293,"Apixaban 5 mg vs Edoxaban 60 mg","0.73 (0.51, 1.06)"
"26","Dabigatran_110_mg","Edoxaban_60_mg",1.15077087369049,0.76302778099261,1.69285732633471,"Dabigatran 110 mg vs Edoxaban 60 mg","1.15 (0.76, 1.69)"
