"","treatment","comparator","median","boundLower","boundUpper","label","result"
"1","Dabigatran_110_mg","Apixaban_5_mg",1.02235329689532,0.857520595045021,1.21959684114057,"Dabigatran 110 mg vs Apixaban 5 mg","1.02 (0.86, 1.22)"
"2","Dabigatran_150_mg","Apixaban_5_mg",0.98993532175215,0.830448525447411,1.18177367541421,"Dabigatran 150 mg vs Apixaban 5 mg","0.99 (0.83, 1.18)"
"3","Edoxaban_30_mg","Apixaban_5_mg",0.970964503541961,0.834535921035682,1.1292431855182,"Edoxaban 30 mg vs Apixaban 5 mg","0.97 (0.83, 1.13)"
"4","Edoxaban_60_mg","Apixaban_5_mg",1.02269774563448,0.876554943476297,1.19230993665428,"Edoxaban 60 mg vs Apixaban 5 mg","1.02 (0.88, 1.19)"
"5","Rivaroxaban_20_mg","Apixaban_5_mg",0.932790021481749,0.74897144278184,1.15878008671167,"Rivaroxaban 20 mg vs Apixaban 5 mg","0.93 (0.75, 1.16)"
"6","Warfarin","Apixaban_5_mg",1.1227902702936,1.00206227617887,1.25770251930319,"Warfarin vs Apixaban 5 mg","1.12 (1.00, 1.26)"
"7","Apixaban_5_mg","Dabigatran_110_mg",0.978135447928613,0.819943087967329,1.1661527498911,"Apixaban 5 mg vs Dabigatran 110 mg","0.98 (0.82, 1.17)"
"8","Dabigatran_150_mg","Dabigatran_110_mg",0.968399953698043,0.844706015441045,1.10812527427298,"Dabigatran 150 mg vs Dabigatran 110 mg","0.97 (0.84, 1.11)"
"9","Edoxaban_30_mg","Dabigatran_110_mg",0.949036415899764,0.798076340296699,1.1268781172363,"Edoxaban 30 mg vs Dabigatran 110 mg","0.95 (0.80, 1.13)"
"10","Edoxaban_60_mg","Dabigatran_110_mg",0.999696731709633,0.844523007363387,1.18980292021756,"Edoxaban 60 mg vs Dabigatran 110 mg","1.00 (0.84, 1.19)"
"11","Rivaroxaban_20_mg","Dabigatran_110_mg",0.91197343877002,0.722256852544976,1.14675969742513,"Rivaroxaban 20 mg vs Dabigatran 110 mg","0.91 (0.72, 1.15)"
"12","Warfarin","Dabigatran_110_mg",1.09711318754978,0.959457132416738,1.25943946227528,"Warfarin vs Dabigatran 110 mg","1.10 (0.96, 1.26)"
"13","Apixaban_5_mg","Dabigatran_150_mg",1.01016700589089,0.846185712885761,1.20416855392842,"Apixaban 5 mg vs Dabigatran 150 mg","1.01 (0.85, 1.20)"
"14","Dabigatran_110_mg","Dabigatran_150_mg",1.03263119352834,0.902425044547493,1.18384382462089,"Dabigatran 110 mg vs Dabigatran 150 mg","1.03 (0.90, 1.18)"
"15","Edoxaban_30_mg","Dabigatran_150_mg",0.980040201451079,0.829625927763786,1.16466906217174,"Edoxaban 30 mg vs Dabigatran 150 mg","0.98 (0.83, 1.16)"
"16","Edoxaban_60_mg","Dabigatran_150_mg",1.03361620326167,0.873008968111497,1.22325623756872,"Edoxaban 60 mg vs Dabigatran 150 mg","1.03 (0.87, 1.22)"
"17","Rivaroxaban_20_mg","Dabigatran_150_mg",0.942628144614777,0.745218716159683,1.17832340004863,"Rivaroxaban 20 mg vs Dabigatran 150 mg","0.94 (0.75, 1.18)"
"18","Warfarin","Dabigatran_150_mg",1.13346940604327,0.988727459036277,1.30035026912986,"Warfarin vs Dabigatran 150 mg","1.13 (0.99, 1.30)"
"19","Apixaban_5_mg","Edoxaban_30_mg",1.0299037671842,0.885548846186842,1.19827076917069,"Apixaban 5 mg vs Edoxaban 30 mg","1.03 (0.89, 1.20)"
"20","Dabigatran_110_mg","Edoxaban_30_mg",1.05370034621055,0.887407417629628,1.25301296318123,"Dabigatran 110 mg vs Edoxaban 30 mg","1.05 (0.89, 1.25)"
"21","Dabigatran_150_mg","Edoxaban_30_mg",1.02036630591211,0.858613002165021,1.20536252126961,"Dabigatran 150 mg vs Edoxaban 30 mg","1.02 (0.86, 1.21)"
"22","Edoxaban_60_mg","Edoxaban_30_mg",1.05407071046841,0.946361447943408,1.17084091511075,"Edoxaban 60 mg vs Edoxaban 30 mg","1.05 (0.95, 1.17)"
"23","Rivaroxaban_20_mg","Edoxaban_30_mg",0.959869747384107,0.777437645060978,1.18521992886071,"Rivaroxaban 20 mg vs Edoxaban 30 mg","0.96 (0.78, 1.19)"
"24","Warfarin","Edoxaban_30_mg",1.1573700750957,1.04139567445741,1.28155816336028,"Warfarin vs Edoxaban 30 mg","1.16 (1.04, 1.28)"
"25","Apixaban_5_mg","Edoxaban_60_mg",0.977806007951648,0.838708098672804,1.1408297990245,"Apixaban 5 mg vs Edoxaban 60 mg","0.98 (0.84, 1.14)"
"26","Dabigatran_110_mg","Edoxaban_60_mg",1.00030336028992,0.840475328315001,1.18410036349633,"Dabigatran 110 mg vs Edoxaban 60 mg","1.00 (0.84, 1.18)"
"27","Dabigatran_150_mg","Edoxaban_60_mg",0.967477093377992,0.81749021119855,1.14546360521727,"Dabigatran 150 mg vs Edoxaban 60 mg","0.97 (0.82, 1.15)"
"28","Edoxaban_30_mg","Edoxaban_60_mg",0.94870295708683,0.854086996016374,1.05667871633313,"Edoxaban 30 mg vs Edoxaban 60 mg","0.95 (0.85, 1.06)"
"29","Rivaroxaban_20_mg","Edoxaban_60_mg",0.911188150741152,0.7370472939737,1.13070266775933,"Rivaroxaban 20 mg vs Edoxaban 60 mg","0.91 (0.74, 1.13)"
"30","Warfarin","Edoxaban_60_mg",1.09709542799859,0.989033696272131,1.21800104114352,"Warfarin vs Edoxaban 60 mg","1.10 (0.99, 1.22)"
"31","Apixaban_5_mg","Rivaroxaban_20_mg",1.07205263453771,0.862976514239,1.33516439062855,"Apixaban 5 mg vs Rivaroxaban 20 mg","1.07 (0.86, 1.34)"
"32","Dabigatran_110_mg","Rivaroxaban_20_mg",1.09652316338149,0.872022274802074,1.38454899593733,"Dabigatran 110 mg vs Rivaroxaban 20 mg","1.10 (0.87, 1.38)"
"33","Dabigatran_150_mg","Rivaroxaban_20_mg",1.06086371992284,0.848663448386694,1.34188792943,"Dabigatran 150 mg vs Rivaroxaban 20 mg","1.06 (0.85, 1.34)"
"34","Edoxaban_30_mg","Rivaroxaban_20_mg",1.04180801897889,0.843725266213883,1.28627679191116,"Edoxaban 30 mg vs Rivaroxaban 20 mg","1.04 (0.84, 1.29)"
"35","Edoxaban_60_mg","Rivaroxaban_20_mg",1.09746817842902,0.884405802262467,1.35676503824961,"Edoxaban 60 mg vs Rivaroxaban 20 mg","1.10 (0.88, 1.36)"
"36","Warfarin","Rivaroxaban_20_mg",1.20477905866199,0.995732817776192,1.4510727450181,"Warfarin vs Rivaroxaban 20 mg","1.20 (1.00, 1.45)"
"37","Apixaban_5_mg","Warfarin",0.890638284332934,0.795100577960226,0.99794196805139,"Apixaban 5 mg vs Warfarin","0.89 (0.80, 1.00)"
"38","Dabigatran_110_mg","Warfarin",0.911482982201074,0.794004023181407,1.04225604898172,"Dabigatran 110 mg vs Warfarin","0.91 (0.79, 1.04)"
"39","Dabigatran_150_mg","Warfarin",0.882247014933388,0.769023565219207,1.01140105987823,"Dabigatran 150 mg vs Warfarin","0.88 (0.77, 1.01)"
"40","Edoxaban_30_mg","Warfarin",0.86402786932029,0.780300128850941,0.96024981140912,"Edoxaban 30 mg vs Warfarin","0.86 (0.78, 0.96)"
"41","Edoxaban_60_mg","Warfarin",0.91149773709684,0.821017360593676,1.01108789697379,"Edoxaban 60 mg vs Warfarin","0.91 (0.82, 1.01)"
"42","Rivaroxaban_20_mg","Warfarin",0.830027707412668,0.689145326058429,1.00428546910138,"Rivaroxaban 20 mg vs Warfarin","0.83 (0.69, 1.00)"
