"study","treatment","responders","sampleSize"
"ARISTOTLE","Apixaban_5_mg",212,9120
"ARISTOTLE","Warfarin",265,9081
"ARISTOTLE-J","Apixaban_5_mg",0,72
"ARISTOTLE-J","Warfarin",3,75
"ENGAGE AF-TIMI","Edoxaban_30_mg",182,7034
"ENGAGE AF-TIMI","Edoxaban_60_mg",253,7035
"ENGAGE AF-TIMI","Warfarin",232,7036
"J-ROCKET","Rivaroxaban_15_mg",11,639
"J-ROCKET","Warfarin",22,639
"Mao, 2014","Rivaroxaban_20_mg",5,177
"Mao, 2014","Warfarin",7,176
"PETRO","Dabigatran_150_mg",0,166
"PETRO","Warfarin",0,70
"RE-LY","Dabigatran_110_mg",182,6015
"RE-LY","Dabigatran_150_mg",134,6076
"RE-LY","Warfarin",199,6022
"ROCKET-AF","Rivaroxaban_20_mg",188,7131
"ROCKET-AF","Warfarin",241,7133
"Yamashita, 2012","Edoxaban_30_mg",0,131
"Yamashita, 2012","Edoxaban_60_mg",0,131
"Yamashita, 2012","Warfarin",0,129
