"label","result","treatment","comparator","median","boundLower","boundUpper"
"Dabigatran 110 mg vs Apixaban 5 mg","1.16 (0.88, 1.52)","Dabigatran_110_mg","Apixaban_5_mg",1.15719945840897,0.878766378432017,1.52368213705519
"Dabigatran 150 mg vs Apixaban 5 mg","0.83 (0.63, 1.11)","Dabigatran_150_mg","Apixaban_5_mg",0.834159433117056,0.626572230940137,1.11430703286637
"Edoxaban 30 mg vs Apixaban 5 mg","0.99 (0.75, 1.29)","Edoxaban_30_mg","Apixaban_5_mg",0.985882815268439,0.751782315776594,1.28723134550294
"Edoxaban 60 mg vs Apixaban 5 mg","1.38 (1.07, 1.79)","Edoxaban_60_mg","Apixaban_5_mg",1.38193749039176,1.0701799746014,1.78708080816041
"Rivaroxaban 20 mg vs Apixaban 5 mg","0.98 (0.75, 1.28)","Rivaroxaban_20_mg","Apixaban_5_mg",0.979066376340034,0.751051663429792,1.27759209653638
"Warfarin vs Apixaban 5 mg","1.26 (1.05, 1.51)","Warfarin","Apixaban_5_mg",1.26485169901722,1.05330896294337,1.51400669591835
"Apixaban 5 mg vs Dabigatran 110 mg","0.86 (0.66, 1.14)","Apixaban_5_mg","Dabigatran_110_mg",0.864155260990961,0.656304865483752,1.13795887569606
"Dabigatran 150 mg vs Dabigatran 110 mg","0.72 (0.57, 0.90)","Dabigatran_150_mg","Dabigatran_110_mg",0.721246080577293,0.571980368543906,0.902268515938089
"Edoxaban 30 mg vs Dabigatran 110 mg","0.85 (0.64, 1.13)","Edoxaban_30_mg","Dabigatran_110_mg",0.852364183896314,0.641557218604169,1.1322153500955
"Edoxaban 60 mg vs Dabigatran 110 mg","1.20 (0.91, 1.56)","Edoxaban_60_mg","Dabigatran_110_mg",1.19622342867176,0.909047813879626,1.56382372385401
"Rivaroxaban 20 mg vs Dabigatran 110 mg","0.85 (0.63, 1.12)","Rivaroxaban_20_mg","Dabigatran_110_mg",0.846992514584365,0.633512332200964,1.11906502891003
"Warfarin vs Dabigatran 110 mg","1.09 (0.89, 1.34)","Warfarin","Dabigatran_110_mg",1.0913181598909,0.888842259727879,1.33956509396706
"Apixaban 5 mg vs Dabigatran 150 mg","1.20 (0.90, 1.60)","Apixaban_5_mg","Dabigatran_150_mg",1.19881159440137,0.897418727967345,1.59598518833105
"Dabigatran 110 mg vs Dabigatran 150 mg","1.39 (1.11, 1.75)","Dabigatran_110_mg","Dabigatran_150_mg",1.38648933689815,1.10831751561263,1.74831175158285
"Edoxaban 30 mg vs Dabigatran 150 mg","1.18 (0.88, 1.57)","Edoxaban_30_mg","Dabigatran_150_mg",1.18279591608679,0.877292096797241,1.57210000667821
"Edoxaban 60 mg vs Dabigatran 150 mg","1.66 (1.25, 2.20)","Edoxaban_60_mg","Dabigatran_150_mg",1.65773708069147,1.24921593428249,2.19950147549087
"Rivaroxaban 20 mg vs Dabigatran 150 mg","1.17 (0.88, 1.57)","Rivaroxaban_20_mg","Dabigatran_150_mg",1.17378702539148,0.878380632043892,1.57209885539826
"Warfarin vs Dabigatran 150 mg","1.51 (1.22, 1.90)","Warfarin","Dabigatran_150_mg",1.51424200237817,1.21540231703987,1.9049835003292
"Apixaban 5 mg vs Edoxaban 30 mg","1.01 (0.78, 1.33)","Apixaban_5_mg","Edoxaban_30_mg",1.01431933340649,0.776861131834296,1.330172283937
"Dabigatran 110 mg vs Edoxaban 30 mg","1.17 (0.88, 1.56)","Dabigatran_110_mg","Edoxaban_30_mg",1.17320743749323,0.883224202812344,1.55870742468722
"Dabigatran 150 mg vs Edoxaban 30 mg","0.85 (0.64, 1.14)","Dabigatran_150_mg","Edoxaban_30_mg",0.845454390228573,0.636091848961289,1.13987120555483
"Edoxaban 60 mg vs Edoxaban 30 mg","1.40 (1.15, 1.71)","Edoxaban_60_mg","Edoxaban_30_mg",1.40226451834542,1.1524832573924,1.70967556592112
"Rivaroxaban 20 mg vs Edoxaban 30 mg","0.99 (0.76, 1.30)","Rivaroxaban_20_mg","Edoxaban_30_mg",0.993212740727122,0.756586868789428,1.304860476376
"Warfarin vs Edoxaban 30 mg","1.28 (1.05, 1.56)","Warfarin","Edoxaban_30_mg",1.28422908410753,1.05357035048989,1.56278490264139
"Apixaban 5 mg vs Edoxaban 60 mg","0.72 (0.56, 0.93)","Apixaban_5_mg","Edoxaban_60_mg",0.723621731773491,0.559571786252567,0.934422268901512
"Dabigatran 110 mg vs Edoxaban 60 mg","0.84 (0.64, 1.10)","Dabigatran_110_mg","Edoxaban_60_mg",0.835964232125397,0.639458261661052,1.1000521476777
"Dabigatran 150 mg vs Edoxaban 60 mg","0.60 (0.45, 0.80)","Dabigatran_150_mg","Edoxaban_60_mg",0.603231967027537,0.454648478822605,0.800502117013394
"Edoxaban 30 mg vs Edoxaban 60 mg","0.71 (0.58, 0.87)","Edoxaban_30_mg","Edoxaban_60_mg",0.713132213585449,0.584906294464838,0.867691563921365
"Rivaroxaban 20 mg vs Edoxaban 60 mg","0.71 (0.54, 0.92)","Rivaroxaban_20_mg","Edoxaban_60_mg",0.707831678395999,0.543119815452676,0.920517363943667
"Warfarin vs Edoxaban 60 mg","0.91 (0.76, 1.09)","Warfarin","Edoxaban_60_mg",0.914156509252097,0.761036337959675,1.09031588015068
"Apixaban 5 mg vs Rivaroxaban 20 mg","1.02 (0.78, 1.33)","Apixaban_5_mg","Rivaroxaban_20_mg",1.02138120986058,0.782722437553468,1.33146632740729
"Dabigatran 110 mg vs Rivaroxaban 20 mg","1.18 (0.89, 1.58)","Dabigatran_110_mg","Rivaroxaban_20_mg",1.18064797832448,0.893603118823217,1.57850123694637
"Dabigatran 150 mg vs Rivaroxaban 20 mg","0.85 (0.64, 1.14)","Dabigatran_150_mg","Rivaroxaban_20_mg",0.851943306892904,0.636092314784284,1.13845861750516
"Edoxaban 30 mg vs Rivaroxaban 20 mg","1.01 (0.77, 1.32)","Edoxaban_30_mg","Rivaroxaban_20_mg",1.00683364096589,0.766365460602584,1.3217252919021
"Edoxaban 60 mg vs Rivaroxaban 20 mg","1.41 (1.09, 1.84)","Edoxaban_60_mg","Rivaroxaban_20_mg",1.41276525270256,1.08634561298856,1.84121435371775
"Warfarin vs Rivaroxaban 20 mg","1.29 (1.07, 1.56)","Warfarin","Rivaroxaban_20_mg",1.29099366420606,1.06703194323844,1.56357531022802
"Apixaban 5 mg vs Warfarin","0.79 (0.66, 0.95)","Apixaban_5_mg","Warfarin",0.790606519939842,0.660499060338323,0.94938905409634
"Dabigatran 110 mg vs Warfarin","0.92 (0.75, 1.13)","Dabigatran_110_mg","Warfarin",0.91632306393579,0.746510941874833,1.12505901812786
"Dabigatran 150 mg vs Warfarin","0.66 (0.52, 0.82)","Dabigatran_150_mg","Warfarin",0.660396421727482,0.524938929826526,0.822772826725817
"Edoxaban 30 mg vs Warfarin","0.78 (0.64, 0.95)","Edoxaban_30_mg","Warfarin",0.778677272127773,0.63988332515231,0.949153513607346
"Edoxaban 60 mg vs Warfarin","1.09 (0.92, 1.31)","Edoxaban_60_mg","Warfarin",1.09390458841466,0.917165399683803,1.31399770302819
"Rivaroxaban 20 mg vs Warfarin","0.77 (0.64, 0.94)","Rivaroxaban_20_mg","Warfarin",0.774597139959617,0.639559855837175,0.937179066040893
