"","treatment","comparator","median","boundLower","boundUpper","label","result"
"1","Dabigatran_110_mg","Apixaban_5_mg",1.15651124649999,0.88437293594336,1.52380109575045,"Dabigatran 110 mg vs Apixaban 5 mg","1.16 (0.88, 1.52)"
"2","Dabigatran_150_mg","Apixaban_5_mg",0.829813603089975,0.623404075583668,1.10244941046273,"Dabigatran 150 mg vs Apixaban 5 mg","0.83 (0.62, 1.10)"
"3","Edoxaban_30_mg","Apixaban_5_mg",0.986256230025128,0.755235911931919,1.28820200866006,"Edoxaban 30 mg vs Apixaban 5 mg","0.99 (0.76, 1.29)"
"4","Edoxaban_60_mg","Apixaban_5_mg",1.38213372843558,1.06926938789613,1.79080016465334,"Edoxaban 60 mg vs Apixaban 5 mg","1.38 (1.07, 1.79)"
"5","Rivaroxaban_20_mg","Apixaban_5_mg",0.979277517864256,0.749622331740364,1.28163707334623,"Rivaroxaban 20 mg vs Apixaban 5 mg","0.98 (0.75, 1.28)"
"6","Warfarin","Apixaban_5_mg",1.26220967708706,1.05434944854797,1.516482831781,"Warfarin vs Apixaban 5 mg","1.26 (1.05, 1.52)"
"7","Apixaban_5_mg","Dabigatran_110_mg",0.864669498914389,0.656253629682235,1.13074468853267,"Apixaban 5 mg vs Dabigatran 110 mg","0.86 (0.66, 1.13)"
"8","Dabigatran_150_mg","Dabigatran_110_mg",0.718708252874242,0.572850283505468,0.900418422993505,"Dabigatran 150 mg vs Dabigatran 110 mg","0.72 (0.57, 0.90)"
"9","Edoxaban_30_mg","Dabigatran_110_mg",0.853248800880003,0.639685393483371,1.12729096572881,"Edoxaban 30 mg vs Dabigatran 110 mg","0.85 (0.64, 1.13)"
"10","Edoxaban_60_mg","Dabigatran_110_mg",1.19418036570578,0.917384752665339,1.57609963294481,"Edoxaban 60 mg vs Dabigatran 110 mg","1.19 (0.92, 1.58)"
"11","Rivaroxaban_20_mg","Dabigatran_110_mg",0.846025777086823,0.633412262505467,1.11936501307222,"Rivaroxaban 20 mg vs Dabigatran 110 mg","0.85 (0.63, 1.12)"
"12","Warfarin","Dabigatran_110_mg",1.09397189689419,0.890936131945876,1.34091368292147,"Warfarin vs Dabigatran 110 mg","1.09 (0.89, 1.34)"
"13","Apixaban_5_mg","Dabigatran_150_mg",1.20508990968129,0.907071100505438,1.60409602562149,"Apixaban 5 mg vs Dabigatran 150 mg","1.21 (0.91, 1.60)"
"14","Dabigatran_110_mg","Dabigatran_150_mg",1.39138516359152,1.11059477956418,1.74565681259797,"Dabigatran 110 mg vs Dabigatran 150 mg","1.39 (1.11, 1.75)"
"15","Edoxaban_30_mg","Dabigatran_150_mg",1.18596380921651,0.877620684579577,1.58442420134238,"Edoxaban 30 mg vs Dabigatran 150 mg","1.19 (0.88, 1.58)"
"16","Edoxaban_60_mg","Dabigatran_150_mg",1.66358358357687,1.25514947239609,2.22424139398703,"Edoxaban 60 mg vs Dabigatran 150 mg","1.66 (1.26, 2.22)"
"17","Rivaroxaban_20_mg","Dabigatran_150_mg",1.17877684445112,0.880961097927355,1.5840843231029,"Rivaroxaban 20 mg vs Dabigatran 150 mg","1.18 (0.88, 1.58)"
"18","Warfarin","Dabigatran_150_mg",1.52026562798573,1.21765449296573,1.88823301852079,"Warfarin vs Dabigatran 150 mg","1.52 (1.22, 1.89)"
"19","Apixaban_5_mg","Edoxaban_30_mg",1.01393529344248,0.776275765196302,1.32408957810542,"Apixaban 5 mg vs Edoxaban 30 mg","1.01 (0.78, 1.32)"
"20","Dabigatran_110_mg","Edoxaban_30_mg",1.17199109915964,0.887082421842602,1.56326846006997,"Dabigatran 110 mg vs Edoxaban 30 mg","1.17 (0.89, 1.56)"
"21","Dabigatran_150_mg","Edoxaban_30_mg",0.843196050527576,0.631144108473454,1.13944442920582,"Dabigatran 150 mg vs Edoxaban 30 mg","0.84 (0.63, 1.14)"
"22","Edoxaban_60_mg","Edoxaban_30_mg",1.40256846797663,1.1578663473197,1.70386607463099,"Edoxaban 60 mg vs Edoxaban 30 mg","1.40 (1.16, 1.70)"
"23","Rivaroxaban_20_mg","Edoxaban_30_mg",0.995387632480511,0.753092852026192,1.30765464618635,"Rivaroxaban 20 mg vs Edoxaban 30 mg","1.00 (0.75, 1.31)"
"24","Warfarin","Edoxaban_30_mg",1.28055558398206,1.06016136927913,1.56809643320748,"Warfarin vs Edoxaban 30 mg","1.28 (1.06, 1.57)"
"25","Apixaban_5_mg","Edoxaban_60_mg",0.723518990547962,0.558409597976319,0.93521802019188,"Apixaban 5 mg vs Edoxaban 60 mg","0.72 (0.56, 0.94)"
"26","Dabigatran_110_mg","Edoxaban_60_mg",0.837394441173033,0.634477655534748,1.09005517815141,"Dabigatran 110 mg vs Edoxaban 60 mg","0.84 (0.63, 1.09)"
"27","Dabigatran_150_mg","Edoxaban_60_mg",0.601111966884103,0.449591488901961,0.796717858703311,"Dabigatran 150 mg vs Edoxaban 60 mg","0.60 (0.45, 0.80)"
"28","Edoxaban_30_mg","Edoxaban_60_mg",0.712977671202474,0.586900587369562,0.863657538985272,"Edoxaban 30 mg vs Edoxaban 60 mg","0.71 (0.59, 0.86)"
"29","Rivaroxaban_20_mg","Edoxaban_60_mg",0.708987137168691,0.540911751404558,0.919354247264512,"Rivaroxaban 20 mg vs Edoxaban 60 mg","0.71 (0.54, 0.92)"
"30","Warfarin","Edoxaban_60_mg",0.914132352718774,0.76389716043484,1.09275092727941,"Warfarin vs Edoxaban 60 mg","0.91 (0.76, 1.09)"
